--------------------------------------------------------------------------
[[14994,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.136052
[PI-INFO] Total time,0.136056
[PI-INFO] Total time,0.136060
[PI-INFO] Total time,0.136064
[PI-INFO] Total time,0.136068
[PI-INFO] Total time,0.136069
[PI-INFO] Total time,0.136073
[PI-INFO] Total time,0.136077
[PI-INFO] Total time,0.136081
[PI-INFO] Total time,0.136087
[PI-INFO] Total time,0.136091
[PI-INFO] Total time,0.136095
[PI-INFO] Total time,0.136099
[PI-INFO] Total time,0.136103
[PI-INFO] Total time,0.136107
[PI-INFO] Total time,0.136109
[PI-INFO] Total time,0.136113
[PI-INFO] Total time,0.136118
[PI-INFO] Total time,0.136123
[PI-INFO] Total time,0.136127
[PI-INFO] Total time,0.136132
[PI-INFO] Total time,0.136135
[PI-INFO] Total time,0.136139
[PI-INFO] Total time,0.136143
[PI-INFO] Total time,0.136146
[PI-INFO] Total time,0.136149
[PI-INFO] Total time,0.136154
[PI-INFO] Total time,0.136159
[PI-INFO] Total time,0.136164
[PI-INFO] Total time,0.136168
[PI-INFO] Total time,0.136172
[PI-INFO] Total time,0.136175
[PI-INFO] Total time,0.136179
[PI-INFO] Total time,0.136182
[PI-INFO] Total time,0.136185
[PI-INFO] Total time,0.136190
[PI-INFO] Total time,0.136195
[PI-INFO] Total time,0.136200
[PI-INFO] Total time,0.136204
[PI-INFO] Total time,0.136208
[PI-INFO] Total time,0.136212
[PI-INFO] Total time,0.136216
[PI-INFO] Total time,0.136220
[PI-INFO] Total time,0.136225
[PI-INFO] Total time,0.136230
[PI-INFO] Total time,0.136235
[PI-INFO] Total time,0.136239
[PI-INFO] Total time,0.136243
[PI-INFO] Total time,0.136032
[PI-INFO] Total time,0.136278
[PI-INFO] Total time,0.136295
[PI-INFO] Total time,0.136311
[PI-INFO] Total time,0.136328
[PI-INFO] Total time,0.136345
[PI-INFO] Total time,0.136361
[PI-INFO] Total time,0.136378
[PI-INFO] Total time,0.136394
[PI-INFO] Total time,0.136411
[PI-INFO] Total time,0.136427
[PI-INFO] Total time,0.136444
[PI-INFO] Total time,0.136460
[PI-INFO] Total time,0.136476
[PI-INFO] Total time,0.136493
[PI-INFO] Total time,0.136509
[PI-INFO] Total time,0.136526
[PI-INFO] Total time,0.136542
[PI-INFO] Total time,0.136559
[PI-INFO] Total time,0.136575
[PI-INFO] Total time,0.136591
[PI-INFO] Total time,0.136608
[PI-INFO] Total time,0.136624
[PI-INFO] Total time,0.136641
[PI-INFO] Total time,0.136657
[PI-INFO] Total time,0.136673
[PI-INFO] Total time,0.136690
[PI-INFO] Total time,0.136706
[PI-INFO] Total time,0.136722
[PI-INFO] Total time,0.136739
[PI-INFO] Total time,0.136755
[PI-INFO] Total time,0.136771
[PI-INFO] Total time,0.136788
[PI-INFO] Total time,0.136804
[PI-INFO] Total time,0.136820
[PI-INFO] Total time,0.136837
[PI-INFO] Total time,0.136853
[PI-INFO] Total time,0.136869
[PI-INFO] Total time,0.136886
[PI-INFO] Total time,0.136902
[PI-INFO] Total time,0.136919
[PI-INFO] Total time,0.136935
[PI-INFO] Total time,0.136952
[PI-INFO] Total time,0.136968
[PI-INFO] Total time,0.136984
[PI-INFO] Total time,0.137001
[PI-INFO] Total time,0.137017
[PI-INFO] Total time,0.137033
[PI-INFO] Total time,0.137050
[PI-INFO] Total time,0.137066
[PI-INFO] Total time,0.137082
[PI-INFO] Total time,0.137099
[PI-INFO] Total time,0.137115
[PI-INFO] Total time,0.137131
[PI-INFO] Total time,0.137148
[PI-INFO] Total time,0.137164
[PI-INFO] Total time,0.137181
[PI-INFO] Total time,0.137197
[PI-INFO] Total time,0.137213
[PI-INFO] Total time,0.137230
[PI-INFO] Total time,0.137246
[PI-INFO] Total time,0.137262
[PI-INFO] Total time,0.137279
[PI-INFO] Total time,0.137295
[PI-INFO] Total time,0.137311
[PI-INFO] Total time,0.137328
[PI-INFO] Total time,0.137344
[PI-INFO] Total time,0.137361
[PI-INFO] Total time,0.137377
[PI-INFO] Total time,0.137393
[PI-INFO] Total time,0.137410
[PI-INFO] Total time,0.137426
[PI-INFO] Total time,0.137442
[PI-INFO] Total time,0.137459
[PI-INFO] Total time,0.137475
[PI-INFO] Total time,0.137492
[PI-INFO] Total time,0.137508
[PI-INFO] Total time,0.137524
[PI-INFO] Total time,0.137550
[PI-INFO] Total time,0.137568
[PI-INFO] Total time,0.137586
[PI-INFO] Total time,0.137602
[PI-INFO] Total time,0.137619
[PI-INFO] Total time,0.137635
[PI-INFO] Total time,0.137672
[PI-INFO] Total time,0.137688
[PI-INFO] Total time,0.137705
[PI-INFO] Total time,0.137721
[PI-INFO] Total time,0.137737
[PI-INFO] Total time,0.137754
[PI-INFO] Total time,0.137774
[PI-INFO] Total time,0.137790
[PI-INFO] Total time,0.137806
[PI-INFO] Total time,0.137823
[PI-INFO] Total time,0.137839
[PI-INFO] Total time,0.137855
[PI-INFO] Total time,0.137872
[PI-INFO] Total time,0.137888
[PI-INFO] Total time,0.137904
[PI-INFO] Total time,0.137920
[PI-INFO] Total time,0.137945
[PI-INFO] Total time,0.137962
[PI-INFO] Total time,0.137978
[PI-INFO] Total time,0.137995
[PI-INFO] Total time,0.138011
[PI-INFO] Total time,0.138027
[PI-INFO] Total time,0.138044
[PI-INFO] Total time,0.138060
[PI-INFO] Total time,0.138076
[PI-INFO] Total time,0.138092
[PI-INFO] Total time,0.138109
[PI-INFO] Total time,0.138125
[PI-INFO] Total time,0.138142
[PI-INFO] Total time,0.138158
[PI-INFO] Total time,0.138174
[PI-INFO] Total time,0.138190
[PI-INFO] Total time,0.138207
[PI-INFO] Total time,0.138223
[PI-INFO] Total time,0.138239
[PI-INFO] Total time,0.138256
[PI-INFO] Total time,0.138272
[PI-INFO] Total time,0.138288
[PI-INFO] Total time,0.138305
[PI-INFO] Total time,0.138321
[PI-INFO] Total time,0.138337
[PI-INFO] Total time,0.138353
[PI-INFO] Total time,0.138370
[PI-INFO] Total time,0.138386
